id;embedding;polarity
B000NRT08S-A2HB7TJ2Y3XDDM-1359504000-2022;This stuff smell great ! It go clear gloss n't overly shiny , look nice without lipstick . I n't wear lipstick I go . It 's greasy slimey anything .;1
B0009S2TFC-A1I0B9UAH2WPX6-1122854400-1935;FYI - MIA another version album , `` Piracy Finds Terrorism '' , first bootleg , available Hollertronix among place . `` Piracy Funds Terrorism '' track `` Arular '' outstanding others ( URAQT , Lady Killer , plus fantastic Brazilian Baile Funk totally unknown band Batidao Cruel ) , remixed DJ Diplo . In opinion , `` Piracy Funds Terrorism '' best thing ever done either Diplo MIA , may best album year ( least ) , clear 5+ Amazon Scale.I know I incredibly hip cool , actually I 'm . My first taste MIA college radio . It consisted long portion `` Piracy Funds Terrorism '' , identified station break `` MIA , new album Arular '' . I advanced ordered CD Amazon , initially disappointed n't sound like version radio . It took week work rest out.This album , Arular , contains base track song used make remixed version `` Piracy Funds Terrorism '' . It , good album definitely better 99 % stuff , 5 Amazon scale , good `` Piracy Funds Terrorism '' . I think last point cause confusion . liner note contain word alone justify purchase prices.It 's tempting think MIA silly , goofy , fun-loving , even teeny-bopping , sound thing . She also fun , poppy , danceable , incredibly sexy . But two thing 's definitely thoughtless commercial . Sunshowers essentially celebrates terrorist ( get singing along ) , contains opinion one great uninterrupted line pop music.She reveals hand line `` I Salt N'Peppa Mango '' . MIA , Sri Lankan birth take native Indian-infused culture , flavor classic late ` 80 's hip-hop goofy , though timeless influence . This infectious CD , liner art note alone worth price purchase , better yet , follow trail , lead lot new fantastic influence . I definitely recommend .;1
B0002H3P9E-A28M8X5OXRLEZ4-1297641600-4423;Ordered pit bull mix . The listed length weight fine , I could n't even get one paw . Very tight shoulder chest .;0
B000OWDQKU-ATWKMH8GM3JHQ-1239408000-1193;I usually like champion sport bra one large shoulder I put one shoulder blade rub blister skin material wide shoulder . Other I love reversible feature actual feel material itself..;0
B0000BYDEG-A2JTDEUWJBTB48-1199664000-1464;I tried product trim ceramic tile cut tile took almost 45 minute cut piece 6 '' long decided use tile nipper couple oieces needed trimwould recommend product;0
B00006HTZ0-A2698PVFH2VKIX-1313452800-1720;I Use pad laptop work great . The pad slide stay put move mouse .;1
B00005KG63-AS9IV51O0GVEG-1027296000-390;Just simply `` 3D video card '' enough . It AGP card ( PCI , mean motherboard better AGP slot ) video card support AGP Texture Acceleration . Not 8MB larger AGP video card . You may find forking [ money ] [ store ] ( cheapest option ) get video card let play game . True , enable play game normally would able play , plan buy girl another Barbie game , may overstepping hardware limit one .;0
B000231FAE-A1OAMTZL1D4F7M-1286496000-3746;My son received Christmas gift last year . My husband would let throw away got stuck high closet . When moved 4 yr old daughter found I afraid `` way '' suck . I explain rude talk like . She wanted know someone would make toy talk bad . I tell I idea someone would make toy teach rude thing . The song sung different voice different key time . It make crazy . This thing going trash asap . Do n't buy .;0
B000CP1XVS-A30R3JOS573RVQ-1258761600-4204;My previous pair running shoe GT-2100 . I wore 3-4 year til finally wore , I loved much I n't bother looking different type new running shoe ! I heard many great thing entire 2100 series would loved get newest version ( I think 2140 latest ) little bit expensive I budget . I thought great price great value , I bet 's really much difference 2110 2140 . The shoe comfortable run , fit perfectly , foot knee never hurt ! I 'm sure I always continue buy running shoe GT-2100 line ! !;1
B0094PYJHC-unknown-936921600-2902;A touching movie two misfit teen boy find , become best friend give strength 's weakness . Great message kid adult alike , 's main theme accept people different .;1
